"part_id","age","ageRound","cueDum","cueContrast","blockNum","trialNum","tType","acc","reachRT","minDist","minPDist","szDummyAgg","Reach Type","Age","Condition","Trial Type"
1002,6.44,6,1,0.5,2,5,-0.5,0,1604.864787,0,0,1,"No-go: Full Reach","6 (n=27)","Cue Highlight","No-Go"
1002,6.44,6,1,0.5,2,6,-0.5,1,0,1.388758,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1002,6.44,6,1,0.5,2,7,0.5,1,1408.213374,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,2,8,0.5,1,967.056279,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,3,9,0.5,1,1327.743063,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,3,10,0.5,1,752.509364,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,3,11,0.5,1,966.673986,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,3,12,-0.5,1,0,1.354546,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1002,6.44,6,1,0.5,4,13,0.5,1,1182.837112,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,4,14,-0.5,1,0,1.388758,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1002,6.44,6,1,0.5,4,15,-0.5,1,0,1.30592,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1002,6.44,6,1,0.5,4,16,-0.5,1,0,1.354546,1,0,"No-go: Non-Reach","6 (n=27)","Cue Highlight","No-Go"
1002,6.44,6,1,0.5,5,17,0.5,1,773.86541,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
1002,6.44,6,1,0.5,5,18,0.5,1,966.220583,0,0,1,"Go: Accurate","6 (n=27)","Cue Highlight","Go"
